CustomerKey,BirthDate,MaritalStatus,Gender,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner
11943,27/02/1949,M,F,20000,2,Partial High School,Clerical,Y
11944,15/10/1950,S,F,30000,3,Partial College,Clerical,N
11945,11/09/1980,M,M,20000,0,Partial College,Skilled Manual,N
11946,03/01/1951,S,F,30000,3,High School,Skilled Manual,Y
11947,22/10/1951,S,F,30000,3,High School,Skilled Manual,N
11948,10/04/1951,M,F,30000,3,High School,Skilled Manual,Y
11949,05/11/1980,S,F,70000,0,Partial College,Skilled Manual,Y
11950,10/09/1979,M,F,70000,0,Partial College,Skilled Manual,Y
11951,06/08/1952,M,F,40000,2,Partial College,Skilled Manual,Y
11952,23/09/1954,S,M,80000,2,Partial College,Skilled Manual,N
11953,04/09/1975,S,F,40000,0,High School,Skilled Manual,N
11954,17/08/1975,M,M,60000,0,Partial College,Skilled Manual,Y
11955,05/04/1975,S,M,60000,0,Partial College,Skilled Manual,Y
11956,03/09/1974,S,F,40000,0,High School,Skilled Manual,Y
11957,12/08/1973,S,F,60000,0,Partial College,Skilled Manual,N
11958,06/01/1973,S,M,70000,0,Partial College,Professional,Y
11959,07/04/1973,S,F,70000,0,Partial College,Professional,N
11960,03/07/1973,S,F,70000,0,Partial College,Professional,N
11961,24/06/1973,S,F,70000,0,Partial College,Professional,Y
11962,28/11/1976,S,F,60000,0,Partial College,Professional,N
11964,17/02/1956,S,M,70000,2,High School,Skilled Manual,N
11965,19/10/1956,S,NA,70000,2,High School,Skilled Manual,Y
11966,17/02/1956,S,M,70000,2,High School,Skilled Manual,Y
11967,10/02/1957,S,F,80000,2,High School,Professional,Y
11968,21/10/1958,S,F,130000,0,Graduate Degree,Management,N
11969,25/07/1958,S,M,130000,0,Graduate Degree,Management,N
11970,16/11/1973,S,F,80000,0,Bachelors,Management,N
11971,03/09/1973,S,F,80000,0,Bachelors,Management,N
11972,23/03/1974,M,F,60000,0,Partial College,Professional,N
11973,03/02/1974,S,F,60000,0,Partial College,Professional,N
11974,07/02/1974,S,M,60000,0,Partial College,Professional,N
11975,04/10/1974,S,F,60000,0,High School,Professional,N
11976,26/05/1959,S,F,120000,1,Bachelors,Management,N
11977,23/05/1959,M,F,130000,0,Graduate Degree,Management,Y
11978,22/10/1966,M,M,130000,0,Graduate Degree,Management,Y
11979,08/05/1957,M,M,80000,2,Partial High School,Skilled Manual,N
11980,18/12/1957,S,F,60000,2,High School,Professional,N
11981,03/02/1957,S,F,60000,2,High School,Professional,N
11982,04/04/1957,S,F,60000,2,High School,Professional,Y
11983,27/02/1957,M,F,70000,3,Partial College,Professional,Y
11984,06/06/1957,M,M,80000,2,Bachelors,Management,Y
11985,18/11/1957,M,F,80000,2,Bachelors,Management,N
11986,24/07/1963,S,M,70000,0,Bachelors,Professional,Y
11987,27/11/1967,M,F,90000,4,Bachelors,Professional,Y
11988,20/08/1962,S,F,70000,1,Partial College,Skilled Manual,Y
11989,28/03/1962,S,F,70000,1,Partial College,Skilled Manual,Y
11990,15/07/1962,S,F,70000,1,Partial College,Skilled Manual,Y
11991,10/08/1962,M,M,60000,1,Bachelors,Professional,Y
11992,13/06/1961,S,F,60000,1,Partial College,Skilled Manual,Y
11993,19/03/1961,S,F,60000,1,Partial College,Skilled Manual,N
11994,22/10/1966,S,F,110000,0,Graduate Degree,Management,N
11995,14/06/1960,M,M,60000,1,Partial College,Skilled Manual,Y
11996,02/08/1960,S,F,60000,1,Partial College,Skilled Manual,Y
11997,07/04/1960,M,F,60000,1,Partial College,Skilled Manual,Y
11998,10/08/1960,M,F,60000,1,Partial College,Skilled Manual,Y
11999,05/06/1960,M,M,60000,1,Partial College,Skilled Manual,Y
12000,12/03/1965,S,F,70000,0,Bachelors,Professional,N
12001,06/07/1965,S,F,80000,5,Bachelors,Professional,Y
12002,06/02/1964,S,F,70000,0,Bachelors,Professional,Y
12003,11/03/1963,S,F,70000,0,Bachelors,Professional,Y
12004,20/12/1963,S,M,70000,0,Bachelors,Professional,N
12005,17/07/1962,M,M,60000,1,Partial College,Skilled Manual,Y
12006,16/03/1962,M,M,70000,5,Partial College,Skilled Manual,Y
12007,26/07/1961,M,F,60000,1,Partial College,Skilled Manual,Y
12008,22/08/1961,M,F,70000,5,Partial College,Skilled Manual,Y
12009,03/08/1957,S,F,80000,1,Partial College,Skilled Manual,Y
12010,26/02/1957,M,M,80000,1,Partial College,Skilled Manual,Y
12011,17/02/1935,S,F,30000,2,Partial College,Clerical,N
12012,22/10/1960,M,F,60000,3,Partial College,Skilled Manual,N
12013,07/03/1953,S,F,30000,2,Partial College,Clerical,Y
12014,09/02/1949,M,M,10000,2,High School,Skilled Manual,Y
12015,09/07/1976,S,M,30000,0,High School,Skilled Manual,N
12016,13/12/1975,S,F,40000,0,High School,Skilled Manual,N
12017,27/10/1976,M,M,40000,0,High School,Skilled Manual,Y
12018,02/08/1980,M,M,30000,0,High School,Skilled Manual,Y
12019,13/11/1980,S,F,30000,0,High School,Skilled Manual,N
12020,14/09/1979,M,F,30000,0,High School,Skilled Manual,Y
12021,13/02/1946,S,F,10000,5,High School,Skilled Manual,N
12022,22/11/1980,S,M,40000,0,High School,Skilled Manual,Y
12023,08/07/1978,S,M,30000,0,Partial High School,Clerical,N
12024,26/06/1978,S,M,40000,0,High School,Skilled Manual,Y
12025,18/06/1978,M,M,40000,0,High School,Skilled Manual,Y
12026,17/07/1978,M,M,40000,0,High School,Skilled Manual,N
12027,26/10/1978,M,F,40000,0,High School,Skilled Manual,Y
12028,11/11/1977,S,F,30000,0,Partial High School,Clerical,N
12029,16/10/1977,M,M,30000,0,Partial High School,Clerical,N
12030,05/02/1977,S,F,40000,0,High School,Skilled Manual,Y
12031,19/10/1979,S,M,30000,0,Partial High School,Clerical,N
12032,26/05/1979,S,M,30000,0,Partial High School,Clerical,N
12033,02/05/1979,S,F,40000,0,High School,Skilled Manual,N
12034,14/03/1941,M,M,40000,2,Bachelors,Management,Y
12035,22/06/1941,M,M,40000,2,Bachelors,Management,N
12036,06/02/1941,M,F,40000,2,Bachelors,Management,Y
12037,14/09/1943,S,F,40000,2,Bachelors,Management,Y
12038,10/08/1943,S,M,40000,2,Bachelors,Management,Y
12039,13/02/1943,M,M,70000,2,Graduate Degree,Management,Y
12040,18/08/1976,M,M,40000,0,Partial College,Skilled Manual,Y
12041,07/06/1975,M,M,40000,0,High School,Skilled Manual,Y
12042,27/09/1975,M,M,40000,0,High School,Skilled Manual,Y
12043,21/09/1974,M,M,40000,0,Partial College,Skilled Manual,Y
12044,27/05/1974,S,F,40000,0,Partial College,Skilled Manual,Y
12045,25/06/1974,S,M,40000,0,Partial College,Skilled Manual,N
12046,18/07/1974,S,F,40000,0,Partial College,Skilled Manual,N
12047,25/03/1974,S,F,40000,0,Partial College,Skilled Manual,N
12048,19/05/1972,S,F,70000,0,Partial College,Skilled Manual,Y
12049,11/04/1968,S,F,80000,0,Bachelors,Management,Y
12050,14/09/1967,S,M,110000,0,Graduate Degree,Management,N
12051,24/09/1967,S,M,120000,0,Bachelors,Management,N
12052,27/05/1967,S,F,120000,0,Bachelors,Management,N
12053,15/05/1967,S,M,130000,0,Graduate Degree,Management,Y
12054,04/06/1968,M,M,90000,4,Bachelors,Management,Y
12055,20/11/1968,M,F,90000,4,Bachelors,Management,N
12056,15/06/1942,M,M,120000,2,Graduate Degree,Management,Y
12057,15/03/1943,M,F,120000,2,Graduate Degree,Management,Y
12058,03/07/1943,M,F,130000,2,Bachelors,Management,Y
12059,02/06/1943,M,M,130000,2,Bachelors,Management,Y
12060,16/04/1943,S,M,150000,1,Graduate Degree,Management,N
12061,09/05/1943,M,M,160000,1,Bachelors,Management,Y
12062,04/06/1944,M,M,70000,4,Bachelors,Management,Y
12063,08/09/1944,M,M,70000,4,Bachelors,Management,Y
12064,09/10/1944,S,M,70000,4,Bachelors,Management,Y
12065,03/07/1944,M,M,70000,4,Bachelors,Management,Y
12066,12/08/1944,M,M,70000,4,Bachelors,Management,Y
12067,14/11/1944,S,M,70000,4,Bachelors,Management,Y
12068,22/05/1944,S,F,70000,4,Bachelors,Management,Y
12069,01/11/1944,M,M,70000,4,Bachelors,Management,N
12070,03/09/1944,M,M,70000,4,Bachelors,Management,Y
12071,02/04/1944,M,M,70000,4,Bachelors,Management,Y
12072,24/08/1944,M,M,70000,4,Bachelors,Management,Y
12073,23/08/1944,M,M,70000,4,Bachelors,Management,Y
12074,27/10/1944,S,F,70000,4,Bachelors,Management,Y
12075,26/06/1944,S,M,60000,4,Bachelors,Management,Y
12076,26/02/1944,M,F,70000,5,Bachelors,Management,Y
12077,21/03/1945,S,F,70000,5,Bachelors,Management,Y
12078,18/02/1945,M,M,60000,4,Bachelors,Management,Y
12079,13/10/1945,M,M,60000,4,Bachelors,Management,N
12080,09/06/1946,S,F,60000,4,Bachelors,Management,Y
12081,05/06/1946,S,F,60000,5,Bachelors,Management,Y
12082,12/10/1946,M,F,70000,5,Bachelors,Management,Y
12083,28/02/1946,M,F,70000,4,Bachelors,Management,Y
12084,07/08/1947,M,M,60000,5,Bachelors,Management,N
12085,25/12/1947,M,M,60000,2,Bachelors,Management,Y
12086,13/08/1947,S,F,60000,2,Bachelors,Management,Y
12087,14/07/1947,S,M,70000,4,Bachelors,Management,Y
12088,22/07/1947,S,F,70000,4,Bachelors,Management,Y
12089,24/10/1947,M,M,70000,4,Bachelors,Management,Y
12090,05/07/1948,M,F,40000,2,High School,Professional,Y
12091,12/11/1948,M,M,40000,2,High School,Professional,Y
12092,09/02/1948,M,M,40000,2,High School,Professional,Y
12093,08/11/1948,M,M,60000,2,Partial College,Professional,Y
12094,19/09/1948,M,F,60000,2,Bachelors,Management,Y
12095,25/02/1948,M,M,60000,2,Bachelors,Management,Y
12096,27/02/1948,M,F,60000,2,Bachelors,Management,N
12097,13/11/1949,S,M,60000,2,Partial College,Professional,Y
12098,25/10/1949,S,F,60000,2,Partial College,Professional,Y
12099,18/11/1949,S,F,60000,2,Partial College,Professional,N
12100,24/04/1949,S,M,60000,2,Bachelors,Management,Y
12101,24/04/1949,S,M,70000,4,Partial College,Professional,Y
12102,04/06/1949,M,M,70000,4,Partial College,Professional,Y
12103,12/10/1949,M,F,70000,4,Partial College,Professional,Y
12104,11/01/1949,M,F,70000,4,Partial College,Professional,Y
12105,16/05/1949,S,F,70000,5,Partial College,Professional,Y
12106,08/06/1950,M,M,40000,2,Partial High School,Skilled Manual,Y
12107,15/08/1950,M,M,40000,2,Partial High School,Skilled Manual,Y
12108,23/02/1950,M,M,60000,2,Partial College,Professional,Y
12109,20/03/1950,S,F,60000,2,Partial College,Professional,Y
12110,03/02/1950,M,F,60000,2,Partial College,Professional,Y
12111,04/08/1950,M,F,60000,2,Partial College,Professional,Y
12112,09/06/1950,M,F,70000,4,Partial College,Professional,Y
12113,23/08/1951,M,M,70000,2,High School,Professional,Y
12114,07/11/1951,M,M,70000,2,High School,Professional,Y
12115,08/02/1951,S,F,70000,2,High School,Professional,Y
12116,22/02/1951,S,F,70000,2,High School,Professional,Y
12117,03/08/1951,M,M,60000,2,Partial College,Professional,Y
12118,27/01/1951,M,F,60000,2,Partial College,Professional,Y
12119,01/06/1951,M,M,60000,2,Partial College,Professional,N
12120,11/07/1952,M,M,60000,3,High School,Professional,Y
12121,25/09/1952,S,M,60000,3,High School,Professional,Y
12122,18/12/1952,M,F,70000,4,Partial College,Professional,Y
12123,14/06/1958,M,M,170000,2,Bachelors,Management,Y
12124,08/02/1957,S,F,110000,2,Partial College,Professional,Y
12125,12/01/1957,M,F,130000,2,Partial College,Professional,Y
12126,18/11/1957,M,F,150000,2,High School,Professional,Y
12127,14/12/1956,M,F,100000,2,Partial College,Professional,Y
12128,16/12/1956,M,F,120000,3,High School,Professional,Y
12129,21/09/1956,M,F,120000,3,High School,Professional,Y
12130,12/08/1956,S,F,120000,3,High School,Professional,Y
12131,17/10/1955,M,M,90000,2,High School,Professional,N
12132,19/11/1955,M,F,110000,3,Partial College,Professional,Y
12133,26/12/1955,M,F,130000,3,Partial College,Professional,Y
12134,23/09/1955,M,M,170000,3,High School,Professional,Y
12135,11/04/1957,M,M,90000,2,Partial College,Professional,Y
12136,08/11/1932,M,M,30000,4,High School,Professional,N
12137,04/11/1932,M,M,90000,3,Graduate Degree,Management,Y
12138,26/11/1933,M,M,70000,3,Graduate Degree,Management,Y
12139,15/03/1933,M,M,70000,4,Graduate Degree,Management,Y
12140,11/03/1965,S,M,90000,4,Partial College,Professional,N
12141,20/09/1965,S,F,90000,4,Partial College,Professional,Y
12142,06/01/1965,S,F,100000,4,Bachelors,Management,Y
12143,13/11/1965,M,M,100000,4,Bachelors,Management,Y
12144,10/11/1965,M,F,100000,4,Partial College,Professional,Y
12145,04/10/1965,M,M,100000,4,Partial College,Professional,Y
12146,14/07/1965,S,M,110000,3,Bachelors,Management,N
12147,28/12/1964,M,F,80000,4,Bachelors,Management,Y
12148,06/12/1964,S,F,100000,5,Partial College,Professional,Y
12149,24/06/1964,M,F,100000,5,Partial College,Professional,Y
12150,12/08/1964,M,M,130000,2,Graduate Degree,Management,Y
12151,12/05/1964,M,M,130000,2,Bachelors,Management,Y
12152,26/03/1964,M,M,130000,2,Bachelors,Management,Y
12153,15/09/1956,S,F,70000,3,Partial College,Professional,Y
12154,24/07/1956,S,F,80000,3,Partial College,Professional,Y
12155,15/10/1956,S,F,80000,3,Partial College,Professional,Y
12156,12/01/1934,M,F,70000,4,Graduate Degree,Management,Y
12157,22/09/1934,M,M,120000,1,Graduate Degree,Management,Y
12158,24/04/1963,M,M,80000,4,Partial College,Professional,Y
12159,14/11/1963,M,F,80000,4,Partial College,Professional,Y
12160,24/11/1963,S,F,90000,0,Partial College,Professional,Y
12161,08/03/1963,M,F,100000,5,Partial College,Professional,Y
12162,20/12/1963,S,M,120000,4,Partial College,Professional,Y
12163,05/09/1963,S,M,150000,2,Bachelors,Management,N
12164,13/04/1963,M,M,150000,3,Bachelors,Management,Y
12165,12/06/1962,M,M,80000,5,Partial College,Professional,Y
12166,14/03/1962,M,M,80000,5,Partial College,Professional,Y
12167,21/09/1962,S,M,100000,1,Partial College,Professional,Y
12168,09/02/1961,M,M,80000,5,Partial College,Professional,Y
12169,16/11/1961,S,F,120000,1,High School,Professional,Y
12170,07/01/1961,M,F,130000,1,Bachelors,Management,N
12171,03/02/1961,S,F,130000,1,Bachelors,Management,N
12172,05/03/1961,S,M,130000,1,Bachelors,Management,N
12173,12/09/1961,M,M,130000,1,Bachelors,Management,Y
12174,07/05/1961,M,M,170000,1,Graduate Degree,Management,N
12175,13/09/1955,S,M,60000,2,High School,Professional,N
12176,16/11/1955,S,M,60000,2,High School,Professional,N
12177,27/03/1955,S,M,70000,4,High School,Professional,Y
12178,11/05/1954,M,M,80000,2,Partial High School,Skilled Manual,Y
12179,10/10/1935,S,F,50000,2,Graduate Degree,Management,Y
12180,17/09/1936,S,F,50000,2,Graduate Degree,Management,Y
12181,21/08/1936,M,F,130000,2,Graduate Degree,Management,Y
12182,07/12/1960,M,F,70000,5,High School,Professional,Y
12183,26/10/1960,M,F,80000,5,Partial College,Professional,Y
12184,08/12/1960,M,M,100000,3,Partial College,Professional,Y
12185,27/07/1960,S,F,100000,0,Partial College,Professional,Y
12186,12/05/1960,S,M,100000,0,Partial College,Professional,N
12187,22/07/1960,M,M,100000,0,Partial College,Professional,Y
12188,23/05/1960,S,F,110000,3,Partial College,Professional,Y
12189,19/02/1960,M,F,130000,4,Bachelors,Management,Y
12190,17/12/1960,S,M,170000,1,Graduate Degree,Management,N
12191,10/04/1954,M,F,60000,2,Partial High School,Skilled Manual,Y
12192,26/11/1954,S,F,60000,2,Partial High School,Skilled Manual,N
12193,04/02/1954,S,M,70000,3,High School,Professional,Y
12194,17/07/1953,S,F,70000,3,Graduate Degree,Management,Y
12195,24/11/1953,S,F,70000,3,Graduate Degree,Management,Y
12196,07/09/1953,S,F,70000,3,Graduate Degree,Management,Y
12197,15/01/1953,M,M,70000,3,Graduate Degree,Management,N
12198,14/02/1953,M,M,60000,3,Graduate Degree,Management,Y
12199,08/05/1952,S,F,40000,3,Partial College,Professional,N
12200,23/07/1937,M,M,70000,4,Graduate Degree,Management,Y
12201,06/08/1938,M,F,100000,2,Graduate Degree,Management,Y
12202,25/05/1938,M,M,100000,2,Graduate Degree,Management,Y
12203,06/03/1938,M,M,120000,2,Graduate Degree,Management,Y
12204,02/02/1938,M,M,120000,2,Graduate Degree,Management,Y
12205,02/10/1938,S,F,130000,2,Bachelors,Management,N
12206,12/04/1939,M,F,90000,5,Bachelors,Management,Y
12207,20/06/1940,S,M,80000,4,Bachelors,Management,Y
12208,19/02/1940,M,F,130000,2,Bachelors,Management,Y
12209,26/06/1940,M,F,130000,2,Bachelors,Management,Y
12210,25/09/1978,M,M,10000,0,Graduate Degree,Manual,N
12211,27/02/1974,M,M,10000,0,Graduate Degree,Manual,Y
12212,19/05/1969,M,F,10000,0,Graduate Degree,Manual,Y
12213,02/02/1963,M,M,10000,1,Graduate Degree,Manual,Y
12214,20/09/1962,M,F,20000,1,Graduate Degree,Manual,Y
12215,14/12/1962,M,F,20000,1,Graduate Degree,Clerical,Y
12216,02/04/1962,M,M,20000,1,Graduate Degree,Clerical,Y
12217,03/07/1961,M,M,10000,1,Bachelors,Manual,Y
12218,26/11/1961,M,M,10000,1,Bachelors,Manual,Y
12219,14/04/1961,M,M,10000,1,Bachelors,Manual,Y
12220,16/01/1961,M,F,10000,1,Bachelors,Manual,Y
12221,09/01/1961,M,F,20000,1,Graduate Degree,Clerical,Y
12222,20/03/1961,M,F,20000,1,Graduate Degree,Clerical,Y
12223,19/02/1961,M,F,20000,1,Graduate Degree,Clerical,Y
12224,18/09/1935,M,M,20000,1,Graduate Degree,Clerical,Y
12225,02/11/1958,M,F,20000,1,Graduate Degree,Clerical,Y
12226,10/04/1957,M,F,10000,1,Bachelors,Clerical,Y
12227,11/08/1957,M,F,10000,1,Partial College,Manual,Y
12229,17/11/1956,M,F,10000,2,Partial College,Manual,Y
12230,12/02/1956,M,M,10000,2,Partial College,Manual,Y
12231,19/03/1955,S,F,10000,2,Partial College,Manual,Y
12232,14/04/1955,S,M,10000,2,Partial College,Manual,Y
12233,09/05/1955,M,M,10000,2,Partial College,Manual,Y
12234,25/02/1954,M,M,10000,2,Partial College,Manual,Y
12235,26/05/1938,M,F,30000,1,Graduate Degree,Clerical,Y
12236,06/06/1941,M,F,20000,1,Partial College,Manual,Y
12237,11/05/1941,M,F,20000,1,Partial College,Manual,Y
12238,28/07/1941,M,F,30000,1,Bachelors,Clerical,Y
12239,01/06/1942,M,M,30000,1,Bachelors,Clerical,Y
12240,04/12/1980,S,M,10000,0,Partial College,Manual,N
12241,06/11/1979,S,F,10000,0,Partial College,Manual,N
12242,04/02/1979,S,M,10000,0,Partial College,Manual,N
12243,18/05/1980,S,F,10000,0,Partial College,Manual,N
12244,22/11/1980,M,F,20000,0,Bachelors,Clerical,Y
12245,26/11/1978,S,M,10000,0,Partial College,Manual,Y
12246,12/10/1979,M,M,10000,1,High School,Manual,Y
12247,18/10/1979,S,F,20000,0,Bachelors,Clerical,Y
12248,14/03/1978,S,M,10000,1,High School,Manual,N
12249,16/09/1978,M,M,20000,0,Bachelors,Clerical,Y
12250,08/04/1977,S,F,10000,1,High School,Manual,N
12251,09/04/1977,M,M,20000,0,Partial College,Manual,Y
12252,01/10/1977,M,M,20000,0,Partial College,Manual,N
12253,14/02/1977,S,F,20000,0,Partial College,Manual,Y
12254,26/02/1943,S,M,20000,1,Partial College,Manual,Y
12255,06/08/1961,S,F,20000,1,Partial College,Manual,N
12256,23/10/1961,M,F,20000,1,Partial College,Manual,Y
12257,06/04/1961,M,M,30000,4,Graduate Degree,Clerical,Y
12258,27/09/1961,M,F,30000,4,Graduate Degree,Clerical,Y
12259,16/04/1961,M,F,30000,4,Graduate Degree,Clerical,Y
12260,05/05/1961,M,F,30000,4,Graduate Degree,Clerical,Y
12261,26/10/1960,M,F,10000,1,High School,Manual,Y
12262,22/05/1960,M,F,20000,1,Partial College,Manual,Y
12263,15/03/1960,S,M,20000,1,Partial College,Manual,N
12264,21/02/1960,S,M,20000,1,Partial College,Manual,N
12265,03/07/1959,S,M,10000,1,High School,Manual,N
12266,17/03/1959,M,F,20000,2,Partial College,Manual,Y
12267,10/05/1958,S,M,20000,2,Partial College,Manual,Y
12268,02/05/1958,M,M,30000,1,Graduate Degree,Clerical,Y
12269,13/06/1960,M,M,30000,3,Graduate Degree,Clerical,Y
12270,09/09/1960,S,F,30000,3,Graduate Degree,Clerical,Y
12271,16/09/1959,M,M,30000,0,Bachelors,Clerical,Y
12272,10/12/1959,M,M,40000,3,Graduate Degree,Clerical,Y
12273,14/10/1958,M,M,30000,1,Bachelors,Clerical,Y
12274,26/09/1970,S,M,10000,2,High School,Manual,Y
12275,11/06/1970,S,F,20000,0,Partial College,Manual,Y
12276,13/07/1970,M,NA,30000,0,Bachelors,Clerical,Y
12277,22/04/1969,S,F,10000,2,High School,Manual,Y
12278,06/01/1969,S,F,10000,2,High School,Manual,Y
12279,21/06/1970,M,M,30000,0,Bachelors,Clerical,Y
12280,08/06/1970,M,F,30000,0,Bachelors,Clerical,N
12281,23/04/1970,M,F,40000,0,Graduate Degree,Clerical,Y
12282,07/01/1970,S,M,40000,0,Graduate Degree,Clerical,Y
12283,10/08/1969,S,NA,20000,0,Partial College,Manual,Y
12284,02/10/1969,M,F,30000,0,Bachelors,Clerical,N
12285,28/11/1969,S,F,30000,1,Bachelors,Clerical,Y
12286,06/09/1969,S,M,40000,0,Graduate Degree,Skilled Manual,Y
12287,01/01/1952,S,M,10000,3,Partial College,Manual,N
12288,24/03/1968,M,F,10000,2,High School,Manual,N
12289,23/03/1968,S,M,10000,2,High School,Manual,Y
12290,25/04/1968,S,F,10000,2,High School,Manual,Y
12291,19/04/1944,S,M,90000,5,Partial College,Professional,N
12292,24/03/1944,M,M,130000,3,Bachelors,Management,Y
12293,17/05/1944,M,F,130000,3,Bachelors,Management,Y
12294,01/12/1944,M,M,130000,3,Bachelors,Management,Y
12295,21/03/1945,S,M,60000,3,Partial High School,Skilled Manual,Y
12296,15/02/1945,M,M,70000,5,High School,Professional,N
12297,08/01/1945,S,F,80000,5,Partial College,Professional,N
12298,21/05/1945,S,F,90000,5,Partial College,Professional,N
12299,10/06/1945,M,M,150000,3,Graduate Degree,Management,N
12300,18/07/1946,S,NA,80000,5,Partial College,Professional,Y
12301,05/12/1946,S,F,100000,2,Bachelors,Management,Y
12302,02/03/1946,M,M,100000,2,Bachelors,Management,N
12303,16/04/1946,M,F,130000,4,Partial College,Professional,Y
12304,05/06/1946,S,M,130000,4,Partial College,Professional,N
12305,06/07/1954,M,M,80000,4,Partial College,Professional,N
12306,06/06/1953,M,M,80000,4,Partial College,Professional,Y
12307,13/11/1954,M,M,90000,4,High School,Professional,Y
12308,25/04/1954,M,F,100000,3,High School,Professional,Y
12309,05/10/1954,S,M,130000,3,Partial College,Professional,N
12310,11/07/1954,S,F,130000,3,High School,Professional,N
12311,19/06/1954,S,M,130000,4,High School,Professional,N
12312,10/11/1953,M,M,100000,3,Bachelors,Management,Y
12313,05/06/1953,S,M,100000,3,Bachelors,Management,Y
12314,20/09/1953,M,F,110000,2,Bachelors,Management,Y
12315,19/09/1953,M,F,130000,4,Partial College,Professional,Y
12316,25/11/1953,M,M,130000,5,Partial College,Professional,N
12317,24/09/1953,M,M,150000,2,Bachelors,Management,Y
12318,03/05/1953,M,F,170000,0,Bachelors,Management,N
12319,11/07/1952,M,F,90000,4,High School,Professional,Y
12320,17/06/1952,S,F,120000,4,Partial College,Professional,Y
12321,15/02/1951,M,F,70000,5,Partial High School,Skilled Manual,Y
12322,02/08/1951,M,F,80000,4,High School,Professional,Y
12323,15/01/1951,M,M,80000,4,High School,Professional,Y
12324,27/02/1951,S,M,90000,4,High School,Professional,Y
12325,18/03/1951,M,F,130000,4,High School,Professional,Y
12326,03/02/1951,S,M,170000,0,Partial College,Management,N
12327,18/01/1950,S,M,100000,3,Partial College,Management,Y
12328,18/03/1950,S,M,130000,4,High School,Management,N
12329,23/10/1950,S,F,170000,0,Partial College,Management,N
12330,21/06/1949,M,M,100000,3,Partial College,Management,Y
12331,17/07/1948,S,F,70000,5,Partial High School,Skilled Manual,Y
12332,10/08/1948,M,M,90000,4,High School,Management,Y
12333,18/11/1948,M,M,90000,4,High School,Management,N
12334,20/08/1948,M,M,130000,5,High School,Management,Y
12335,23/02/1948,S,M,150000,3,High School,Management,N
12336,09/07/1947,S,M,130000,5,Graduate Degree,Professional,N
12337,09/10/1975,S,M,70000,0,Bachelors,Professional,N
12338,08/07/1976,S,F,70000,0,Bachelors,Professional,N
12339,08/07/1976,S,M,70000,0,Bachelors,Professional,N
12340,05/11/1976,S,F,70000,0,Bachelors,Professional,Y
12341,09/09/1976,M,F,80000,0,Bachelors,Professional,Y
12342,09/03/1975,M,F,70000,0,Bachelors,Professional,Y
12343,04/06/1974,M,F,60000,0,Bachelors,Professional,Y
12344,02/06/1975,S,F,80000,0,Bachelors,Professional,N
12345,27/06/1975,S,F,80000,0,Bachelors,Professional,Y
12346,22/05/1975,S,M,90000,0,Bachelors,Professional,N
12347,21/02/1975,M,F,90000,0,Bachelors,Professional,N
12348,24/02/1974,M,M,90000,0,Bachelors,Professional,Y
12349,26/07/1974,S,F,90000,0,Bachelors,Professional,Y
12350,25/02/1973,M,M,90000,0,Bachelors,Professional,Y
12351,02/10/1973,M,F,100000,0,High School,Management,Y
12352,05/03/1973,M,M,100000,0,High School,Management,N
12353,20/10/1973,M,M,110000,0,Partial College,Management,N
12354,07/08/1973,M,M,110000,0,Partial College,Management,N
12355,23/03/1973,S,F,120000,0,Partial High School,Professional,Y
12356,22/08/1971,S,F,90000,0,Bachelors,Professional,N
12357,07/04/1971,S,F,100000,0,High School,Management,Y
12358,26/02/1970,M,F,100000,0,Partial High School,Professional,Y
12359,19/02/1970,M,F,130000,5,Graduate Degree,Professional,Y
12361,01/04/1971,M,F,160000,4,Partial High School,Management,N
12362,06/07/1941,S,M,90000,5,Bachelors,Management,Y
12363,25/12/1941,M,F,110000,2,Graduate Degree,Management,N
12364,28/10/1941,M,F,130000,2,Bachelors,Management,Y
12365,12/02/1942,M,M,80000,5,Bachelors,Management,N
12366,10/07/1942,M,F,80000,5,Bachelors,Management,Y
12367,22/08/1973,S,F,10000,0,Partial High School,Manual,N
12368,22/06/1973,S,M,10000,0,Partial High School,Manual,N
12369,06/10/1963,S,M,60000,4,Bachelors,Professional,N
12370,27/06/1963,M,M,60000,3,Bachelors,Professional,Y
12371,14/02/1963,S,F,60000,3,Bachelors,Professional,Y
12372,18/09/1963,S,NA,60000,3,Bachelors,Professional,N
12373,06/08/1974,S,M,30000,0,Partial College,Clerical,N
12374,28/03/1980,S,F,20000,0,Partial High School,Manual,N
12375,24/02/1980,S,M,20000,0,Partial High School,Manual,Y
12376,01/04/1980,S,F,20000,0,Partial High School,Manual,N
12377,14/03/1980,S,M,20000,0,Partial High School,Manual,N
12378,20/08/1979,S,F,30000,0,Partial College,Clerical,Y
12379,19/08/1978,S,F,30000,0,Partial College,Clerical,N
12380,07/03/1974,S,M,30000,0,High School,Manual,N
12381,17/02/1974,M,M,40000,1,Bachelors,Skilled Manual,Y
12382,11/11/1972,S,F,20000,0,Partial High School,Manual,N
12383,20/04/1973,S,M,30000,0,High School,Manual,N
12384,01/10/1973,M,F,40000,1,Bachelors,Skilled Manual,Y
12385,27/03/1973,M,F,40000,1,Bachelors,Skilled Manual,Y
12386,08/04/1972,S,F,20000,0,Partial High School,Manual,N
12387,27/12/1972,S,F,30000,0,High School,Manual,N
